"date","line","station_name","get_in","get_off"
"139",20170601,"경부선","관악",9904,9190
"140",20170601,"경부선","안양",33858,33536
"141",20170601,"경부선","명학",13437,13574
"142",20170601,"경부선","금정",31977,32093
"143",20170601,"경부선","군포",8848,8742
"144",20170601,"경부선","의왕",11192,10528
"145",20170601,"경부선","성균관대",19030,18277
"146",20170601,"경부선","화서",9989,9993
"147",20170601,"경부선","수원",45163,48852
"148",20170601,"경부선","독산",19394,20357
"149",20170601,"경부선","세류",4583,4212
"150",20170601,"경부선","병점",19325,18994
"151",20170601,"경부선","세마",3074,2757
"152",20170601,"경부선","오산대",4009,4108
"153",20170601,"경부선","오산",11011,10296
"154",20170601,"경부선","진위",2042,1863
"155",20170601,"경부선","송탄",5168,5065
"156",20170601,"경부선","서정리",6804,6362
"157",20170601,"경부선","지제",1749,1661
"158",20170601,"경부선","평택",15707,15416
"159",20170601,"경부선","성환",7365,6738
"160",20170601,"경부선","직산",984,1098
"161",20170601,"경부선","두정",8083,8870
"162",20170601,"일산선","마두",9457,10016
"163",20170601,"일산선","정발산",8918,9497
"164",20170601,"일산선","주엽",10963,11192
"165",20170601,"일산선","대화",16092,12388
"166",20170601,"장항선","봉명",1669,1651
"167",20170601,"장항선","쌍용(나사렛대)",3847,3530
"168",20170601,"장항선","아산",3297,2688
"169",20170601,"장항선","배방",1130,1041
"170",20170601,"장항선","온양온천",4858,4814
"171",20170601,"장항선","신창(순천향대)",3436,3030
"172",20170601,"중앙선","회기",35217,34468
"173",20170601,"중앙선","중랑",6817,6358
"174",20170601,"중앙선","상봉(시외버스터미널)",6449,6219
"175",20170601,"중앙선","망우",9301,9230
"176",20170601,"중앙선","양원",2351,2410
"177",20170601,"중앙선","구리",14992,15819
"178",20170601,"중앙선","도농",10605,9174
"179",20170601,"중앙선","양정",1024,897
"180",20170601,"중앙선","덕소",7187,7356
"181",20170601,"중앙선","도심",3344,2726
"182",20170601,"중앙선","팔당",817,818
"183",20170601,"중앙선","운길산",981,930
"184",20170601,"경인선","인천",4910,4179
"185",20170601,"경인선","구일",8563,8499
"186",20170601,"경인선","소사",14837,14596
"187",20170601,"경인선","부개",12260,11437
"188",20170601,"경부선","천안",9866,7851
"189",20170601,"경부선","당정",9567,9146
"190",20170601,"경부선","서동탄",1772,1510
"191",20170601,"경부선","광명",1525,1294
"192",20170601,"경원선","이촌(국립중앙박물관)",5111,3954
"193",20170601,"경원선","서빙고",2511,2445
"194",20170601,"경원선","한남",5235,5074
"195",20170601,"경원선","옥수",62,37
"196",20170601,"경원선","응봉",2329,1931
"197",20170601,"경원선","왕십리(성동구청)",19009,20354
"198",20170601,"경원선","청량리(서울시립대입구)",14927,16806
"199",20170601,"경원선","외대앞",14803,14158
"200",20170601,"경원선","신이문",11081,9712
"201",20170601,"경원선","석계",12348,13721
"202",20170601,"경원선","광운대",13059,12317
"203",20170601,"경원선","월계",8204,7527
"204",20170601,"경원선","녹천",6265,4974
"205",20170601,"경원선","방학",11580,11123
"206",20170601,"경원선","도봉",7497,7333
"207",20170601,"경원선","도봉산",8641,5347
"208",20170601,"경원선","망월사",11896,12192
"209",20170601,"경원선","회룡",14822,14449
"210",20170601,"경원선","의정부",22350,23523
"211",20170601,"경원선","가능",8913,8074
"212",20170601,"경원선","녹양",5849,5372
"213",20170601,"경원선","양주",10355,9274
"214",20170601,"경원선","덕계",2667,2384
"215",20170601,"경원선","덕정",8830,8676
"216",20170601,"경원선","지행",8469,8374
"217",20170601,"경원선","동두천중앙",4346,4148
"218",20170601,"경원선","보산",1917,1752
"219",20170601,"경원선","동두천",2703,3198
"220",20170601,"경원선","소요산",4345,3491
"221",20170601,"경의선","서울역",3662,4508
"222",20170601,"경의선","신촌",1053,1445
"223",20170601,"경의선","효창공원앞",2880,3006
"224",20170601,"경의선","공덕",3001,2981
"225",20170601,"경의선","서강대",2573,2620
"226",20170601,"경의선","홍대입구",1721,2251
"227",20170601,"경의선","가좌",5623,5113
"228",20170601,"경의선","디지털미디어시티",2709,2457
"229",20170601,"경의선","수색",2960,3170
"230",20170601,"경의선","화전",4236,3743
"231",20170601,"경의선","강매",3263,2740
"232",20170601,"경의선","행신",9040,8732
"233",20170601,"경의선","능곡",4593,4096
"234",20170601,"경의선","곡산",702,784
"235",20170601,"경의선","백마",8297,7691
"236",20170601,"경의선","풍산",5441,5100
"237",20170601,"경의선","일산",11279,10822
"238",20170601,"경의선","탄현",9063,8616
"239",20170601,"경의선","야당",4421,4025
"240",20170601,"경의선","운정",5890,5480
"241",20170601,"경의선","금릉",5534,5563
"242",20170601,"경의선","금촌",8403,8296
"243",20170601,"경의선","월롱",3305,3785
"244",20170601,"경의선","파주",2667,1877
"245",20170601,"경의선","문산",6648,6426
"246",20170601,"경인선","개봉",27549,27470
"247",20170601,"경인선","오류동",13517,12482
"248",20170601,"2호선","합정",35755,37903
"249",20170601,"2호선","홍대입구",71403,75833
"250",20170601,"2호선","신촌",52086,52964
"251",20170601,"2호선","이대",23925,25979
"252",20170601,"2호선","아현",12128,11560
"253",20170601,"2호선","충정로(경기대입구)",14138,15310
"254",20170601,"2호선","용답",3048,3119
"255",20170601,"2호선","신답",1553,1695
"256",20170601,"2호선","신설동",3783,3573
"257",20170601,"2호선","도림천",1224,1411
"258",20170601,"2호선","양천구청",8245,8729
"259",20170601,"2호선","신정네거리",11264,11670
